TIME,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Weser-Ems,"29,600",,"29,900",,"30,900",,"32,100",,"32,500",e,"33,300",e,"33,000",e,"34,400",e
Düsseldorf,"35,200",,"35,500",,"35,900",,"37,300",,"38,600",e,"38,400",e,"37,600",e,"39,400",e
Köln,"35,500",,"36,600",,"37,100",,"38,500",,"39,800",e,"39,400",e,"38,200",e,"40,100",e
Münster,"27,800",,"28,200",,"29,000",,"30,200",,"30,900",e,"31,500",e,"31,300",e,"32,800",e
Detmold,"32,200",,"32,300",,"33,200",,"34,100",,"35,200",e,"35,800",e,"35,500",e,"37,300",e
Arnsberg,"29,500",,"29,700",,"30,200",,"31,300",,"32,400",e,"32,600",e,"31,700",e,"33,300",e
Koblenz,"27,900",,"28,400",,"28,900",,"30,200",,"30,900",e,"31,400",e,"31,100",e,"33,100",e
Trier,"25,900",,"26,300",,"27,000",,"27,500",,"28,200",e,"28,400",e,"28,000",e,"29,800",e
Rheinhessen-Pfalz,"32,000",,"33,000",,"33,600",,"34,000",,"34,500",e,"34,500",e,"33,600",e,"39,700",e
Saarland,"31,300",,"31,700",,"31,700",,"32,700",,"33,300",e,"32,800",e,"31,700",e,"32,900",e
Dresden,"25,300",,"26,300",,"26,900",,"27,900",,"28,900",e,"29,600",e,"29,300",e,"30,900",e
Chemnitz,"23,400",,"23,900",,"24,700",,"25,700",,"26,300",e,"26,800",e,"26,200",e,"27,800",e
Leipzig,"27,500",,"27,700",,"28,400",,"29,500",,"30,100",e,"31,100",e,"30,700",e,"32,000",e
Sachsen-Anhalt,"23,400",,"23,700",,"24,300",,"25,200",,"25,800",e,"26,600",e,"26,400",e,"28,000",e
Schleswig-Holstein,"27,400",,"27,500",,"28,100",,"29,600",,"30,300",e,"31,100",e,"30,900",e,"32,400",e
Thüringen,"24,300",,"24,500",,"25,200",,"26,200",,"26,700",e,"27,100",e,"26,800",e,"28,100",e
Eesti,"20,700",,"21,000",,"21,700",,"23,300",,"24,700",,"25,800",,"25,800",,"28,800",
Northern and Western,"22,500",,"24,100",,"22,900",,"25,000",,"25,100",,"25,200",,"23,700",,"27,100",e
Southern,"33,900",,"63,800",,"58,100",,"63,700",,"71,200",,"74,500",,"77,000",,"84,500",e
Eastern and Midland,"43,800",,"49,400",,"53,800",,"57,100",,"59,900",,"61,300",,"64,800",,"77,400",e
Attiki,"25,800",,"26,000",,"25,900",,"26,800",,"27,400",,"28,200",p,"25,400",p,"27,900",p
Voreio Aigaio,"15,100",,"14,900",,"14,300",,"14,000",,"13,700",,"13,600",p,"12,200",p,"13,500",p
Notio Aigaio,"21,600",,"21,500",,"20,500",,"20,800",,"21,500",,"22,000",p,"17,500",p,"20,900",p
Kriti,"16,400",,"16,500",,"16,100",,"16,600",,"17,100",,"17,400",p,"14,900",p,"17,000",p
"Anatoliki Makedonia, Thraki","13,200",,"13,200",,"13,300",,"13,500",,"13,800",,"14,000",p,"13,100",p,"14,600",p
Kentriki Makedonia,"14,500",,"14,900",,"14,900",,"15,300",,"15,800",,"16,000",p,"14,600",p,"16,300",p
Dytiki Makedonia,"20,900",,"20,200",,"18,700",,"19,000",,"18,600",,"17,600",p,"15,500",p,"17,200",p
Ipeiros,"13,700",,"13,700",,"13,700",,"13,800",,"14,100",,"14,500",p,"13,400",p,"14,900",p
