TIME,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Helsinki-Uusimaa,"39,200",,"40,500",,"41,100",,"42,700",,"43,700",,"44,700",,"44,200",,"46,400",
Etelä-Suomi,"26,400",,"26,700",,"27,400",,"29,100",,"29,900",,"30,300",,"30,400",,"32,300",
Pohjois- ja Itä-Suomi,"24,800",,"24,900",,"25,800",,"27,200",,"28,000",,"28,300",,"28,700",,"30,800",
Åland,"37,600",,"37,900",,"37,100",,"37,800",,"34,900",,"35,900",,"31,900",,"35,400",
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Stockholm,"47,500",,"49,900",,"49,000",,"48,800",,"49,900",,"51,700",,"51,100",,"55,300",
Östra Mellansverige,"28,900",,"30,000",,"29,900",,"30,700",,"31,300",,"31,500",,"31,300",,"33,700",
Småland med öarna,"28,800",,"29,900",,"30,000",,"30,800",,"31,200",,"31,300",,"31,100",,"33,400",
Sydsverige,"29,200",,"30,300",,"29,900",,"30,900",,"31,100",,"31,900",,"32,100",,"34,000",
Västsverige,"32,300",,"34,400",,"34,300",,"35,200",,"35,300",,"36,000",,"35,000",,"37,600",
Norra Mellansverige,"27,300",,"27,800",,"27,900",,"28,400",,"29,300",,"29,900",,"29,500",,"32,100",
Mellersta Norrland,"29,600",,"29,900",,"29,600",,"30,300",,"31,100",,"31,700",,"30,900",,"34,900",
Övre Norrland,"31,400",,"31,700",,"31,600",,"33,400",,"34,700",,"36,500",,"35,600",,"41,100",
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Innlandet,"27,500",,"27,300",,"27,200",,"28,600",,"30,000",,"30,100",,"30,000",,:,
Trøndelag,"33,600",,"33,200",,"33,100",,"35,300",,"37,000",,"36,800",,"35,500",,:,
Nord-Norge,"32,300",,"31,200",,"32,700",,"34,400",,"36,200",,"36,100",,"33,800",,:,
Oslo og Viken,"43,700",,"42,000",,"41,500",,"43,300",,"44,800",,"45,800",,"44,300",,:,
Agder og Sør-Østlandet,"29,700",,"29,200",,"28,100",,"29,200",,"31,000",,"30,900",,"29,700",,:,
Vestlandet,"40,400",,"38,900",,"36,500",,"37,600",,"38,600",,"39,600",,"37,600",,:,
Jan Mayen and Svalbard,:,,:,,:,,:,,:,,:,,:,,:,
Extra-Regio level 2,:,,:,,:,,:,,:,,:,,:,,:,
Région lémanique,"43,700",,"44,700",,"45,300",,"44,700",,"46,200",,:,,:,,:,
Espace Mittelland,"41,400",,"43,000",,"42,200",,"42,200",,"42,900",,:,,:,,:,
Nordwestschweiz,"47,000",,"49,000",,"49,500",,"50,600",,"51,200",,:,,:,,:,
Zürich,"56,100",,"57,600",,"56,800",,"57,300",,"59,300",,:,,:,,:,
Ostschweiz,"39,700",,"40,800",,"40,900",,"40,700",,"41,200",,:,,:,,:,
Zentralschweiz,"44,100",,"45,500",,"45,400",,"45,600",,"46,200",,:,,:,,:,
Ticino,"46,900",,"49,500",,"49,100",,"47,800",,"49,700",,:,,:,,:,
Crna Gora,"11,000",,"11,700",,"12,600",,"13,500",,"14,600",,"15,700",,"13,400",,"15,500",
Severna Makedonija,"9,600",,"10,000",e,"10,500",e,"10,800",,"11,400",e,"11,900",e,"11,300",e,:,
Veri,"6,400",,"6,800",,"6,900",,"7,200",,"7,400",,"7,700",,"7,400",p,:,
Qender,"9,500",,"10,100",,"10,000",,"10,700",,"11,100",,"11,400",,"11,000",p,:,
Jug,"7,900",,"7,700",,"7,700",,"7,800",,"8,200",,"8,600",,"8,400",p,:,
Beogradski region,"17,300",,"18,000",,"18,500",,"19,200",,"20,500",,"22,100",,"22,000",,"23,300",
Region Vojvodine,"10,800",,"10,700",,"11,000",,"11,400",,"11,700",,"12,300",,"12,300",,"13,800",
Region Sumadije i Zapadne Srbije,"7,500",,"7,700",,"7,700",,"7,900",,"8,100",,"8,600",,"8,500",,"9,800",
Region Juzne i Istocne Srbije,"6,700",,"6,700",,"6,900",,"7,300",,"7,900",,"8,300",,"8,400",,"10,300",
Extra-Regio level 2,:,,:,,:,,:,,:,,:,,:,,:,
Istanbul,"28,700",,"31,000",,"30,800",,"32,400",,"32,000",,"30,600",,"29,700",,"33,200",
"Tekirdag, Edirne, Kirklareli","19,800",,"21,200",,"21,300",,"22,500",,"22,600",,"21,900",,"22,300",,"26,400",
"Balikesir, Çanakkale","15,300",,"16,200",,"16,600",,"17,000",,"17,000",,"16,600",,"17,400",,"18,300",
Izmir,"19,600",,"20,800",,"21,200",,"22,400",,"22,800",,"21,400",,"21,200",,"24,700",
"Aydin, Denizli, Mugla","15,300",,"16,100",,"16,100",,"16,600",,"16,800",,"16,400",,"15,500",,"17,200",
"Manisa, Afyonkarahisar, Kütahya, Usak","14,100",,"15,200",,"15,500",,"16,300",,"16,200",,"15,600",,"16,100",,"17,300",
"Bursa, Eskisehir, Bilecik","19,500",,"20,800",,"20,600",,"21,700",,"22,000",,"20,600",,"20,000",,"22,700",
"Kocaeli, Sakarya, Düzce, Bolu, Yalova","22,100",,"23,900",,"23,200",,"24,900",,"25,300",,"23,100",,"23,500",,"27,900",
Ankara,"24,400",,"25,700",,"26,400",,"26,400",,"25,300",,"25,100",,"25,700",,"27,600",
"Konya, Karaman","13,800",,"14,800",,"14,700",,"15,300",,"15,100",,"14,700",,"15,200",,"15,700",
"Antalya, Isparta, Burdur","19,000",,"19,800",,"17,700",,"18,600",,"20,000",,"19,900",,"15,300",,"18,200",
"Adana, Mersin","12,800",,"13,900",,"14,100",,"14,500",,"14,200",,"14,000",,"14,500",,"16,000",
"Hatay, Kahramanmaras, Osmaniye","10,400",,"11,300",,"11,600",,"12,300",,"12,300",,"11,400",,"11,500",,"13,600",
"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir","12,100",,"13,400",,"13,000",,"13,700",,"13,500",,"12,900",,"13,100",,"14,000",
"Kayseri, Sivas, Yozgat","13,400",,"14,300",,"14,500",,"14,800",,"14,300",,"13,800",,"14,300",,"15,400",
"Zonguldak, Karabük, Bartin","13,200",,"13,500",,"13,400",,"14,700",,"14,800",,"12,800",,"13,400",,"15,900",
"Kastamonu, Çankiri, Sinop","12,600",,"13,500",,"13,600",,"13,700",,"13,100",,"12,900",,"13,900",,"14,800",
"Samsun, Tokat, Çorum, Amasya","11,100",,"12,300",,"12,300",,"12,400",,"11,700",,"11,500",,"11,800",,"11,900",
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane","11,700",,"13,500",,"12,600",,"12,900",,"12,300",,"12,400",,"12,500",,"12,400",
"Erzurum, Erzincan, Bayburt","11,200",,"11,900",,"12,300",,"12,900",,"12,300",,"12,100",,"12,600",,"12,900",
"Agri, Kars, Igdir, Ardahan","7,000",,"7,900",,"8,300",,"8,600",,"8,200",,"8,200",,"8,800",,"8,700",
"Malatya, Elazig, Bingöl, Tunceli","10,200",,"11,000",,"11,200",,"11,800",,"11,300",,"11,100",,"11,700",,"12,100",
"Van, Mus, Bitlis, Hakkari","6,700",,"7,100",,"7,300",,"7,700",,"7,600",,"7,600",,"7,800",,"7,600",
"Gaziantep, Adiyaman, Kilis","10,800",,"12,100",,"11,800",,"12,300",,"12,500",,"12,000",,"12,800",,"14,600",
"Sanliurfa, Diyarbakir","7,200",,"7,800",,"7,700",,"7,900",,"7,400",,"7,200",,"7,100",,"7,200",
"Mardin, Batman, Sirnak, Siirt","8,400",,"8,700",,"8,700",,"9,600",,"9,500",,"9,500",,"9,600",,"10,300",
